z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
0	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.54233336449	-999.25	-999.25	-999.25	
4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.46628570557	-999.25	-999.25	-999.25	
5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.47071433067	-999.25	-999.25	-999.25	
6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.47266674042	-999.25	-999.25	-999.25	
7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.48914313316	-999.25	-999.25	-999.25	
8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.49833321571	-999.25	-999.25	-999.25	
9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.30627512932	-999.25	-999.25	2.48100018501	-999.25	-999.25	-999.25	
10	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.37490010262	-999.25	-999.25	2.49833321571	-999.25	-999.25	-999.25	
11	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.35257124901	-999.25	-999.25	2.49500012398	-999.25	-999.25	-999.25	
12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.35868573189	-999.25	-999.25	2.48357176781	-999.25	-999.25	-999.25	
13	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.33133339882	-999.25	-999.25	2.49733328819	-999.25	-999.25	-999.25	
